country_id,trade_type,shipping_line_id,container_type,container_size,line_items,commodity,local_currency
2693fa76-6539-410d-a0b0-551d9e620ba3,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'POCH', 'unit': 'per_container', 'lower_price': 220500, 'upper_price': 220500, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 100000, 'upper_price': 100000, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'THC', 'unit': 'per_container', 'lower_price': 95, 'upper_price': 95, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'ISPS', 'unit': 'per_container', 'lower_price': 15, 'upper_price': 15, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,IDR
2693fa76-6539-410d-a0b0-551d9e620ba3,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'DRP', 'unit': 'per_container', 'lower_price': 3500000, 'upper_price': 3500000, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 375000, 'upper_price': 375000, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'THC', 'unit': 'per_container', 'lower_price': 95, 'upper_price': 95, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,IDR
2693fa76-6539-410d-a0b0-551d9e620ba3,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'DRP', 'unit': 'per_container', 'lower_price': 3500000, 'upper_price': 3500000, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 375000, 'upper_price': 375000, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'POCH', 'unit': 'per_container', 'lower_price': 220500, 'upper_price': 220500, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'THC', 'unit': 'per_container', 'lower_price': 194000, 'upper_price': 194000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}]",,IDR
6e18d508-87b9-4e7e-a785-b47edc76b0b7,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 350, 'upper_price': 350, 'currency': 'NZD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 120, 'upper_price': 120, 'currency': 'SGD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'HF', 'unit': 'per_container', 'lower_price': 55, 'upper_price': 55, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 22, 'upper_price': 22, 'currency': 'SGD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'ISPS', 'unit': 'per_container', 'lower_price': 20, 'upper_price': 20, 'currency': 'AUD', 'slabs': [], 'remarks': [], 'location_id': None}]",,SGD
6e18d508-87b9-4e7e-a785-b47edc76b0b7,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 350, 'upper_price': 350, 'currency': 'SGD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 120, 'upper_price': 120, 'currency': 'SGD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'HF', 'unit': 'per_container', 'lower_price': 55, 'upper_price': 55, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,SGD
6e18d508-87b9-4e7e-a785-b47edc76b0b7,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 230, 'upper_price': 230, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 180, 'upper_price': 180, 'currency': 'SGD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'ADMIN', 'unit': 'per_container', 'lower_price': 40, 'upper_price': 40, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CMF', 'unit': 'per_container', 'lower_price': 22, 'upper_price': 22, 'currency': 'AUD', 'slabs': [], 'remarks': [], 'location_id': None}]",,SGD
6e18d508-87b9-4e7e-a785-b47edc76b0b7,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'DO', 'unit': 'per_bl', 'lower_price': 180, 'upper_price': 180, 'currency': 'SGD', 'slabs': [], 'remarks': [], 'location_id': None}]",,SGD
bd771cfe-8ffa-4400-85ca-fccfc0ae33f1,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 140000, 'upper_price': 140000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 100000, 'upper_price': 100000, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 10000, 'upper_price': 10000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'WHA', 'unit': 'per_container', 'lower_price': 4515, 'upper_price': 4515, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'PCR', 'unit': 'per_container', 'lower_price': 237, 'upper_price': 237, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}]",,KRW
bd771cfe-8ffa-4400-85ca-fccfc0ae33f1,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 194000, 'upper_price': 194000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 50000, 'upper_price': 50000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 10000, 'upper_price': 10000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'WHA', 'unit': 'per_container', 'lower_price': 9030, 'upper_price': 9030, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'PCR', 'unit': 'per_container', 'lower_price': 474, 'upper_price': 474, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}]",,KRW
bd771cfe-8ffa-4400-85ca-fccfc0ae33f1,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 140000, 'upper_price': 140000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'POCH', 'unit': 'per_container', 'lower_price': 120750, 'upper_price': 120750, 'currency': 'IDR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 50000, 'upper_price': 50000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CIFE', 'unit': 'per_container', 'lower_price': 38000, 'upper_price': 38000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'WHA', 'unit': 'per_container', 'lower_price': 4515, 'upper_price': 4515, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'PCR', 'unit': 'per_container', 'lower_price': 237, 'upper_price': 237, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}]",,KRW
